Date,ElCons,Heat,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
31/12/2020,470.3,2572,2.6,-1,2,3.9,1.5
01/01/2021,467.99,2530,-1,-1,2.3,3.7,-0.4
02/01/2021,181.33,2076,5.8,-1,-0.2,1.8,-1.3
03/01/2021,182.3,2209,1.2,8,-2.6,-1.3,-3.8
04/01/2021,520.3,3087,-1,8,-1.2,-0.8,-3.1
05/01/2021,496.59,3303,-1,5,-2.6,-0.9,-3.3
06/01/2021,464.91,3325,-1,5,-2.8,-2.4,-3.6
07/01/2021,755.55,3031,0.7,4,-0.6,0.5,-2.5
08/01/2021,757.91,3250,-1,5,-2.5,-1.6,-2.9
09/01/2021,201.75,2538,0.1,5,-6.6,-2.9,-8.6
10/01/2021,200.24,2473,5.4,4,-4,-0.4,-11.8
11/01/2021,781.66,3011,4.1,12,0.2,0.8,-0.5
12/01/2021,771.23,3043,19.8,16,-0.7,0.3,-1.3
13/01/2021,777.27,3442,3.4,32,-4.4,-0.6,-8
14/01/2021,721.83,4481,0.1,31,-14,-7.6,-18.9
15/01/2021,734.54,5275,0.5,30,-18.3,-15,-21.2
16/01/2021,219.97,3617,-1,29,-15.6,-11.9,-17.8
17/01/2021,225.13,4346,-1,29,-11.8,-7.5,-18.4
18/01/2021,733.89,4932,3.9,27,-6.1,-0.5,-12.8
19/01/2021,769.34,3360,1.8,28,0.1,0.8,-0.7
20/01/2021,778.6,3598,3.7,29,-3.6,0.8,-5.3
21/01/2021,755.82,3616,6.8,31,-4.1,-3.3,-5.3
22/01/2021,744.22,2917,2.4,33,1.8,2.5,-3.5
23/01/2021,210.8,2060,1.5,28,2.8,3.6,1.8
24/01/2021,209.49,2012,8.4,22,2,3.1,0.4
25/01/2021,799.41,2728,0.4,22,1.2,2.7,0.1
26/01/2021,765.53,2706,6.6,18,1,1.9,0.6
27/01/2021,771.17,2703,0.9,18,0.5,1.1,-0.1
28/01/2021,762.28,3098,0.7,18,-3.2,-0.1,-4.4
29/01/2021,741.39,3176,3.4,18,-3.6,-1.5,-5
30/01/2021,207.64,2367,5.2,22,-5.9,-3.7,-6.7
31/01/2021,206.9,2467,0.7,28,-6.7,-4.3,-9
01/02/2021,751.65,3699,-1,26,-7.1,-5.3,-11.3
02/02/2021,746.73,3475,7.1,27,-4.3,-1.6,-9.7
03/02/2021,774.95,3819,-1,37,-7.1,-1.6,-9.3
04/02/2021,769.38,4488,-1,35,-13.1,-9.4,-15.4
05/02/2021,724.84,4839,-1,32,-14.7,-12,-15.9
06/02/2021,213.79,3332,-1,31,-13.2,-8.2,-18
07/02/2021,211.01,3140,-1,30,-8.4,-4.7,-14.6
08/02/2021,756.87,4160,-1,29,-7.5,-5.2,-9.5
09/02/2021,743.73,4453,-1,29,-11.2,-9.4,-12.3
10/02/2021,739.49,4589,-1,29,-12.6,-8.8,-15.3
11/02/2021,743.19,5093,-1,29,-15.7,-11.7,-17.6
12/02/2021,724.92,4904,-1,29,-13.1,-8.2,-18.3
13/02/2021,214.49,2964,-1,29,-4.6,-2.3,-9.7
14/02/2021,213.09,2903,-1,29,-5.8,-3.2,-7.5
15/02/2021,748.28,4085,-1,29,-7.5,-3.6,-13.5
16/02/2021,757.44,3699,-1,29,-5.4,-2.3,-9.1
17/02/2021,740.35,4638,-1,29,-14.1,-9.1,-15.8
18/02/2021,733.76,4671,-1,29,-12.8,-7.7,-19.5
19/02/2021,712.41,3994,0.6,29,-5.6,-4.5,-7.8
20/02/2021,207.23,2664,4.4,29,-2.5,0.4,-4.8
21/02/2021,206.21,2372,2.9,30,0,3.1,-4.6
22/02/2021,519.56,3974,0.3,28,-7,-2.6,-9
23/02/2021,519.76,3742,4.3,28,-4.4,-1.3,-9.2
24/02/2021,516.37,3215,0.6,28,-0.5,2.6,-3.6
25/02/2021,520.9,2693,0.4,27,3.1,4.2,2.2
26/02/2021,527.39,2544,-1,18,3.6,4.4,2.6
27/02/2021,195.81,2006,0.5,16,2.4,5.2,0.4
28/02/2021,197.06,1800,-1,16,4.4,8.1,0.9
01/03/2021,776.04,2389,-1,15,3.8,6.5,1.4
02/03/2021,768.9,2277,-1,14,3.8,6.5,1.9
03/03/2021,743.52,2304,0.6,13,2.6,7.3,-0.6
04/03/2021,740.03,2733,-1,11,-1.3,3.5,-2.6
05/03/2021,767.96,3076,-1,11,-3.9,0,-7.2
06/03/2021,212.26,2072,1.5,11,-1,2.3,-7.1
07/03/2021,212.01,2213,-1,13,-4.1,1.7,-5.9
08/03/2021,770.72,3489,2.2,13,-5.8,-3,-8.2
09/03/2021,678.9,3196,10.2,16,-6.7,-3.1,-9.5
10/03/2021,717.6,4204,-1,27,-10.1,-6.8,-15.1
11/03/2021,732.76,3510,1.8,25,-3.4,-0.3,-7.8
12/03/2021,755.63,3197,2,24,-1.2,-0.3,-2.7
13/03/2021,212.3,2091,1.1,24,1.5,2.9,-0.8
14/03/2021,207.32,2079,7.1,18,0.7,1.7,0.3
15/03/2021,775.54,2734,0.8,19,1.3,2.2,0.2
16/03/2021,766.74,2781,0.3,18,0.3,1.7,-1.2
17/03/2021,771.81,2771,1.6,18,-0.1,3,-3.1
18/03/2021,741.46,3012,-1,17,-2.6,0.9,-4.8
19/03/2021,737.82,3343,-1,18,-5.2,-1.6,-7.6
20/03/2021,194.4,2218,1.6,18,-1.4,0.5,-8.3
21/03/2021,192.01,1953,-1,18,1.7,3.6,0.3
22/03/2021,733.21,2839,-1,18,-0.8,3.1,-3.8
23/03/2021,749.63,2532,-1,18,1.6,6.4,-5.8
24/03/2021,776.27,2519,-1,17,2.4,5,1.5
25/03/2021,742.89,2213,0.8,13,3.2,6.9,1.8
26/03/2021,742.58,2256,-1,9,2.8,6.1,0.9
27/03/2021,204.55,1589,-1,7,4.1,8.7,-0.8
28/03/2021,202.25,1499,0.5,5,4.4,7.1,3
29/03/2021,754.23,2231,5.9,-1,3.4,4.5,2.5
30/03/2021,757.13,1986,0.3,-1,4.6,6.2,3.8
31/03/2021,752.87,1878,-1,-1,5.7,9.8,1.9
01/04/2021,739.8,1982,-1,-1,5,9.8,0.1
02/04/2021,502.08,2044,-1,-1,3.2,6.5,1.5
03/04/2021,195.92,1558,-1,-1,3.9,8,1.2
04/04/2021,198.67,1459,2.5,-1,3.9,6.9,0.3
05/04/2021,524.85,2066,2.1,-1,2.8,4.2,1.6
06/04/2021,725.85,2135,0.2,-1,2.5,4.7,0.4
07/04/2021,727.48,2105,0.3,-1,3.2,5.9,1.7
08/04/2021,703.56,2036,-1,-1,4.1,8.1,0.5
09/04/2021,729.3,2281,2,-1,2.9,4.1,0.9
10/04/2021,212.76,1589,2.1,-1,3.2,4.7,0.8
11/04/2021,206.09,1540,0.2,-1,5,9.2,2.8
12/04/2021,752.11,1588,-1,-1,8.8,13.2,4.2
13/04/2021,792.93,1753,-1,-1,5.5,10.4,4.5
14/04/2021,723.28,1918,-1,-1,4.1,7.9,0.9
15/04/2021,720.58,1815,-1,-1,5,10.4,1
16/04/2021,741.59,1601,-1,-1,8,13.9,2.5
17/04/2021,195.52,1079,-1,-1,10.1,14.9,4.5
18/04/2021,195.7,1004,-1,-1,10.3,15,5.6
19/04/2021,762.82,1258,-1,-1,9.1,12.7,6
20/04/2021,743.23,1399,-1,-1,7.6,11.2,3.1
21/04/2021,731.1,1348,-1,-1,6.9,11,3.6
22/04/2021,744.6,1399,6.5,-1,6.1,10.4,3
23/04/2021,756.69,1775,3.7,-1,3.3,6.1,0.4
24/04/2021,212.45,1360,3.5,-1,2.3,5.1,1.4
25/04/2021,212.95,1402,3.3,-1,3.6,7.2,1.9
26/04/2021,759.78,2018,1.1,-1,3.5,5.3,1
27/04/2021,744.93,2001,-1,-1,4,6.2,2.3
28/04/2021,749.97,1968,0.2,-1,3.6,7.5,-0.4
29/04/2021,722.33,1819,-1,-1,3.6,7.7,-1
30/04/2021,674.35,1691,-1,-1,5.2,10.3,-0.9
01/05/2021,191.02,1303,-1,-1,5.7,9.3,1.1
02/05/2021,190.85,1301,-1,-1,4.8,8.5,0.5
03/05/2021,758.75,1618,-1,-1,6.6,9.8,2.8
04/05/2021,740.59,1527,-1,-1,7.1,11.8,4.1
05/05/2021,752.19,1948,7.2,-1,3.9,6.2,2.5
06/05/2021,738.98,1655,0.6,-1,5.6,7.9,4.2
07/05/2021,767.47,1750,-1,-1,4.7,7.3,3.3
08/05/2021,203.49,1279,-1,-1,6.6,10.9,3.6
09/05/2021,205.25,1192,2.7,-1,6.8,11.4,1.4
10/05/2021,755.26,1196,0.1,-1,11,16.5,6.5
11/05/2021,699.97,708,-1,-1,15.7,21.8,10.9
12/05/2021,811.33,690,-1,-1,16.3,21.3,11.5
13/05/2021,611.37,575,-1,-1,16.6,24.6,11.8
14/05/2021,839.81,853,-1,-1,13.4,17.1,9.6
15/05/2021,206.65,476,0.1,-1,13.9,18.5,10.6
16/05/2021,281.34,640,-1,-1,12.5,16.4,10.1
17/05/2021,777.11,679,4.1,-1,13,17.6,7.7
18/05/2021,800.77,733,5.1,-1,12.6,15.8,9.8
19/05/2021,813.66,751,1.5,-1,12,14.5,10
20/05/2021,770.67,771,16.8,-1,12.5,16.7,9.6
21/05/2021,787.94,907,0.4,-1,10.6,13.6,9.4
22/05/2021,212.54,670,-1,-1,10.2,15.3,7.9
23/05/2021,212.23,638,1.3,-1,11.3,16.2,6.1
24/05/2021,759.22,771,-1,-1,11.5,14.4,8.5
25/05/2021,751.01,858,0.1,-1,11,14.1,7.7
26/05/2021,790.55,1113,39.7,-1,9.4,11.6,7.9
27/05/2021,759.23,1016,-1,-1,9.8,12.3,8
28/05/2021,764.93,889,-1,-1,11,14.3,7
29/05/2021,216.8,730,-1,-1,11,15.4,7.1
30/05/2021,217.04,687,-1,-1,11.4,14.2,6.5
31/05/2021,766.38,835,1.2,-1,11.4,14.6,8.9
01/06/2021,722.66,718,-1,-1,13.4,17.9,9.7
02/06/2021,720.89,473,-1,-1,16.2,21.6,8.1
03/06/2021,793.25,378,-1,-1,16.9,19.8,13.4
04/06/2021,788.82,446,-1,-1,17,21.6,11.9
05/06/2021,412.11,337,-1,-1,19.1,23.4,11.7
06/06/2021,364.83,220,17.6,-1,18.7,26.7,13.4
07/06/2021,672.98,200,-1,-1,19.8,25.5,14.5
08/06/2021,661.52,182,-1,-1,18,21.6,14.2
09/06/2021,673.53,240,-1,-1,17.9,22.3,13.6
10/06/2021,664.63,225,-1,-1,18.7,23,11.8
11/06/2021,663.45,154,-1,-1,19.6,23.8,13.4
12/06/2021,356.38,120,7.2,-1,18.1,21.5,15.8
13/06/2021,507.06,405,0.1,-1,15.8,20.8,14.1
14/06/2021,599.45,424,0.3,-1,15.9,19.8,9.5
15/06/2021,622.82,390,-1,-1,16.2,20.2,14
16/06/2021,671.9,473,-1,-1,16.7,20.7,11.2
17/06/2021,660.29,516,-1,-1,16,20.5,11.5
18/06/2021,604.05,295,-1,-1,20,25.1,14.1
19/06/2021,309.88,116,-1,-1,21.9,27.8,17.7
20/06/2021,466.21,102,-1,-1,23.3,28.2,18.1
21/06/2021,650.48,102,-1,-1,25.6,29.8,19.7
22/06/2021,679.48,106,-1,-1,25.1,28.8,22.1
23/06/2021,660.58,94,10.8,-1,22.2,28,18.5
24/06/2021,646.09,95,-1,-1,20.1,22.9,17.7
25/06/2021,632.7,90,-1,-1,20.5,23.9,16.7
26/06/2021,357.63,90,-1,-1,20.8,23.9,18
27/06/2021,476.28,92,-1,-1,21,26.2,17.9
28/06/2021,666.33,105,-1,-1,21.5,26.1,16.1
29/06/2021,643.58,98,-1,-1,22.4,26.9,17.1
30/06/2021,645.5,92,3.5,-1,20.2,25.7,16.2
01/07/2021,636.8,90,-1,-1,21.8,27.2,17.8
02/07/2021,632.4,104,-1,-1,20.3,24.1,16.8
03/07/2021,355.34,93,-1,-1,21.5,25.9,14.9
04/07/2021,472.7,89,-1,-1,22.7,26.4,17.3
05/07/2021,651.03,87,-1,-1,23.6,27.1,19.6
06/07/2021,631.7,85,1.5,-1,23.3,26.8,21.3
07/07/2021,632.67,86,2.8,-1,23.3,26.4,20.6
08/07/2021,629.69,88,1.4,-1,22.8,25.4,20.7
09/07/2021,624.39,88,-1,-1,21.7,25.5,17.6
10/07/2021,354.34,85,-1,-1,25.6,28.7,21.1
11/07/2021,470.63,84,-1,-1,23.2,27.1,22.4
12/07/2021,642.27,86,-1,-1,22.4,26,17.7
13/07/2021,628.15,83,-1,-1,24.1,28.8,17.7
14/07/2021,623.74,83,-1,-1,25.6,30.1,20
15/07/2021,618.28,81,-1,-1,26.4,30.2,20.3
16/07/2021,618.22,82,-1,-1,25.1,29.8,21.7
17/07/2021,344.51,82,-1,-1,22,26.6,16.2
18/07/2021,463.53,79,0.3,-1,22,26.3,18
19/07/2021,632.13,160,-1,-1,18.1,22,14.5
20/07/2021,619.07,219,1.4,-1,17.2,21.6,13.5
21/07/2021,620.51,352,-1,-1,16.9,21.4,12
22/07/2021,613.9,383,-1,-1,18.9,25.1,12.6
23/07/2021,613.67,307,-1,-1,18.4,22.5,13.3
24/07/2021,347.55,326,-1,-1,17.1,20.4,12.4
25/07/2021,340.83,233,-1,-1,19.3,22.7,13.5
26/07/2021,620.16,111,-1,-1,22.6,27.7,16
27/07/2021,610.46,95,11.3,-1,23.3,28.7,17.6
28/07/2021,621.38,96,8.6,-1,20,23.7,18.3
29/07/2021,622.04,95,-1,-1,20.3,23.1,18.8
30/07/2021,640.13,149,9,-1,16.8,20.5,14.4
31/07/2021,353.36,360,3.1,-1,17.4,21,14.2
01/08/2021,348.95,202,-1,-1,17.7,20.6,15.6
02/08/2021,637.74,241,0.2,-1,17.9,20.5,15.3
03/08/2021,638.32,338,-1,-1,15.4,18.9,14.3
04/08/2021,558.75,493,0.3,-1,15,18.5,10.1
05/08/2021,543.6,475,-1,-1,15.3,19.8,8.9
06/08/2021,570.99,432,-1,-1,18,22.4,11.6
07/08/2021,285.12,376,15.8,-1,15.9,18.6,14.7
08/08/2021,297.51,246,4.1,-1,18,20.5,15.9
09/08/2021,717.89,302,1.6,-1,17.3,20.1,15.3
10/08/2021,679.9,263,-1,-1,17.8,20.6,15.8
11/08/2021,798.49,344,-1,-1,17.5,21.8,13.3
12/08/2021,812.75,281,-1,-1,18.2,22.5,16
13/08/2021,783.83,351,6.7,-1,18.6,23.3,13.8
14/08/2021,366.37,216,8,-1,18.1,20.2,16.5
15/08/2021,355.22,398,0.6,-1,15.9,18.8,13.2
16/08/2021,811.66,463,15.9,-1,16.9,20,14.1
17/08/2021,836.97,403,8.4,-1,17.2,19.6,15.4
18/08/2021,843.43,609,9.7,-1,15.3,17.7,14.4
19/08/2021,869.55,595,6.5,-1,14.9,17.5,13.4
20/08/2021,778.58,578,0.2,-1,15.8,18,14.3
21/08/2021,317.67,580,25.9,-1,14.9,18.3,11
22/08/2021,313.68,629,-1,-1,14.5,17.3,11.8
23/08/2021,751.51,784,-1,-1,12.4,15.2,11.1
24/08/2021,743.42,871,6.5,-1,12.1,15.2,9
25/08/2021,771.79,813,28.4,-1,12.5,13.1,11.2
26/08/2021,762.55,737,7,-1,13.5,15.3,12.3
27/08/2021,763.45,817,-1,-1,13.3,14.7,12.3
28/08/2021,309.42,548,-1,-1,16.5,20.6,13.4
29/08/2021,305.27,546,-1,-1,16.2,20.9,12.8
30/08/2021,790.19,697,-1,-1,15.4,20.4,11.8
31/08/2021,792.49,690,-1,-1,15,20.5,10.2
01/09/2021,756.26,703,-1,-1,12.6,17,10.6
02/09/2021,770.12,848,1,-1,11.5,15.3,7.2
03/09/2021,750.27,934,0.7,-1,10.6,14,7.7
04/09/2021,219.34,817,-1,-1,9.6,14.3,6.1
05/09/2021,219.46,864,0.2,-1,9.6,14,4
06/09/2021,755.37,792,-1,-1,12.6,16.7,10.6
07/09/2021,767.93,860,-1,-1,11.9,15.4,6.3
08/09/2021,761.9,629,0.2,-1,14.6,16.8,13.1
09/09/2021,774.56,551,-1,-1,15.1,18.4,12.1
10/09/2021,728.88,737,-1,-1,12.8,15.4,10.8
11/09/2021,224.53,472,2.2,-1,14.3,17.1,12.6
12/09/2021,238.72,518,12.6,-1,14.2,15.2,12.3
13/09/2021,784.21,684,0.2,-1,13.2,15.4,10.2
14/09/2021,748.78,1028,-1,-1,10,13.2,8.2
15/09/2021,752.24,1234,-1,-1,8.2,11.4,5.5
16/09/2021,749.01,1291,-1,-1,8.3,10.4,7.2
17/09/2021,731.24,1347,0.7,-1,8.8,11.2,6.7
18/09/2021,239.69,1042,0.2,-1,8.8,11.1,6.7
19/09/2021,235.12,1057,-1,-1,8.3,10.4,7.8
20/09/2021,758.32,1421,-1,-1,7.8,10.7,6.7
21/09/2021,742.96,1536,-1,-1,6.6,9,4.9
22/09/2021,745.37,1520,-1,-1,6.6,12.1,2
23/09/2021,811.9,1311,14.1,-1,8.9,10.5,4.5
24/09/2021,760.73,1356,4.3,-1,8.7,9.5,7.8
25/09/2021,247.22,958,-1,-1,10.3,12.7,8.1
26/09/2021,223.4,947,-1,-1,10.4,15.5,7.5
27/09/2021,750.62,1244,-1,-1,8.6,13.6,4.7
28/09/2021,761.01,1248,-1,-1,9,12.4,4.7
29/09/2021,761.94,1192,-1,-1,10.5,11,8.3
30/09/2021,764.14,1237,1,-1,10.1,10.8,9.3
01/10/2021,742.43,1242,0.2,-1,10,11,8.4
02/10/2021,219.4,905,-1,-1,11.1,12.5,9.8
03/10/2021,217.26,889,-1,-1,11.3,13.3,9.2
04/10/2021,782.42,1037,-1,-1,11.8,14.3,9.3
05/10/2021,763.25,1085,5.1,-1,10.9,13,9.8
06/10/2021,773.6,998,-1,-1,12.2,14.3,10.5
07/10/2021,788.44,1053,0.4,-1,11.2,13.4,10.1
08/10/2021,743.6,1006,0.2,-1,11.7,12.5,11.1
09/10/2021,232.99,808,0.1,-1,11.7,13,11.3
10/10/2021,231.84,817,-1,-1,11.5,12.2,10.6
11/10/2021,758.98,1066,8.9,-1,10.6,11.9,9.1
12/10/2021,790.97,1162,5.2,-1,8.8,11.3,7.1
13/10/2021,760.91,1328,-1,-1,6.9,10.7,5.1
14/10/2021,765.62,1479,0.4,-1,6.9,10,1.8
15/10/2021,760.67,1296,4.3,-1,8.8,10.5,8.1
16/10/2021,229.49,1174,0.5,-1,6.9,10,4.7
17/10/2021,228.5,1260,-1,-1,6,9.4,4.4
18/10/2021,540.95,1893,-1,-1,4.7,7.3,3.3
19/10/2021,532.69,2182,2.4,-1,3.4,5.9,-0.8
20/10/2021,542.25,1696,17,-1,8.4,11.2,5.3
21/10/2021,563.04,1266,12,-1,10.8,11.8,10
22/10/2021,547.34,1715,3.1,-1,6.2,11.1,5.3
23/10/2021,229.64,1607,0.2,-1,2.2,5.3,1
24/10/2021,229.57,1727,1.5,-1,2.6,6.4,-2.5
25/10/2021,758.2,1570,-1,-1,9.3,10,6.4
26/10/2021,766.98,1507,1.5,-1,8.6,9.5,7.5
27/10/2021,779.55,1541,5.8,-1,8.2,9.5,6.9
28/10/2021,816.29,1513,1.6,-1,8.4,10.7,5.3
29/10/2021,754.5,1309,-1,-1,10.2,11.2,9
30/10/2021,226.32,1108,-1,-1,9,9.7,7.8
31/10/2021,243.39,1143,-1,-1,8.9,9.8,7.1
01/11/2021,783.93,1356,-1,-1,9.1,10.7,8
02/11/2021,724.41,1511,-1,-1,7.8,8.6,6.7
03/11/2021,761.05,1567,6.3,-1,7.4,8,6.7
04/11/2021,772.9,1460,7.1,-1,8.4,9.5,8
05/11/2021,740.59,1584,7.6,-1,6.9,9.1,5.5
06/11/2021,236.34,1331,0.6,-1,5.3,8.3,4
07/11/2021,236.84,1429,6.6,-1,3.6,5.1,1.5
08/11/2021,781.24,2322,-1,-1,1.2,3,-0.8
09/11/2021,796.25,2453,2.8,-1,1.2,5.4,-4.9
10/11/2021,800.75,1710,1.4,-1,8.1,9.6,4.7
11/11/2021,797.28,1841,-1,-1,6.7,9.5,4.1
12/11/2021,745.23,1927,-1,-1,5.7,8,5.1
13/11/2021,232.67,1655,-1,-1,2.4,5.8,-0.5
14/11/2021,232.77,1775,-1,-1,0.9,3.6,-1.9
15/11/2021,770.86,2474,-1,-1,1.4,4.1,-3.3
16/11/2021,766.75,1965,0.5,-1,6.2,7.1,4
17/11/2021,766.5,1895,2,-1,6,6.6,5.5
18/11/2021,765.36,1964,2.4,-1,4.8,6.3,3
19/11/2021,746.37,2171,1.9,-1,3,4.5,1.3
20/11/2021,226.87,1567,-1,-1,3.8,5.7,1.8
21/11/2021,219.57,1764,-1,-1,0.2,3.7,-1.1
22/11/2021,746.37,2789,0.6,-1,-0.8,1.1,-4
23/11/2021,796.45,2613,0.6,-1,1.2,3.6,-1.1
24/11/2021,761.99,2314,1.6,-1,3.2,5.6,-1.7
25/11/2021,810.14,2068,2.5,-1,5.1,7.1,0.1
26/11/2021,757.48,2742,-1,-1,-1.3,4.5,-3.9
27/11/2021,232.81,2257,-1,-1,-6.6,-3.9,-7.6
28/11/2021,216.07,2375,-1,-1,-6,-5.3,-6.8
29/11/2021,761.42,3425,0.6,-1,-4.9,-4.1,-6
30/11/2021,740.5,3785,-1,-1,-8.6,-5.4,-9.5
01/12/2021,737.97,3605,-1,-1,-6.7,-4.1,-10.1
02/12/2021,760.46,3855,-1,-1,-7.7,-6.1,-10.4
03/12/2021,730.37,4120,-1,-1,-9.1,-6.9,-11.6
04/12/2021,216.45,2790,-1,-1,-7.8,-4.3,-11.6
05/12/2021,215.48,3364,-1,-1,-14.3,-10.6,-16.1
06/12/2021,511.18,4883,-1,-1,-12.2,-10,-16.2
07/12/2021,736.89,4832,-1,-1,-13.1,-11.7,-14.6
08/12/2021,745.84,4930,-1,-1,-13.8,-12.4,-16.3
09/12/2021,817.89,4235,-1,2,-6.3,-3.2,-13.1
10/12/2021,781.21,3613,2.9,2,-1.9,-0.7,-4.6
11/12/2021,289.76,2415,4.1,2,0.4,1.1,-0.7
12/12/2021,284.58,2170,0.2,2,1.4,2.1,0.9
13/12/2021,800.52,2733,0.9,2,1.7,2.5,0.3
14/12/2021,784.57,2544,4.5,-1,2.8,3.6,2.3
15/12/2021,757.39,2463,0.3,-1,3.2,4.8,0.3
16/12/2021,789.1,2378,-1,-1,3.3,4.8,2.6
17/12/2021,739.48,2633,1.1,-1,1.1,3.7,0
18/12/2021,231.67,1850,1,-1,2.5,4.3,-0.5
19/12/2021,231.06,1925,0.1,-1,0.3,4.1,-1.3
20/12/2021,738.4,3697,-1,-1,-7.9,-1.4,-10.1
21/12/2021,738.15,4188,-1,-1,-11.2,-7.4,-12.3
22/12/2021,740.37,4284,0.3,-1,-10.7,-8.2,-12.7
23/12/2021,572.89,3339,2,2,-1.2,-0.3,-10.6
24/12/2021,556.1,3993,-1,4,-10.1,-0.5,-13.3
25/12/2021,259.31,2913,-1,3,-11.3,-7.7,-15.2
26/12/2021,258.54,3135,-1,3,-13.2,-7.3,-15.9
27/12/2021,540.82,4462,-1,3,-12.5,-9.7,-13.8
28/12/2021,526.72,3950,-1,3,-5.4,-0.5,-16.3
29/12/2021,523.42,3714,2.1,3,-3.3,-1.8,-4.7
30/12/2021,522.32,3444,2.6,6,-2.1,-1.5,-3.2
31/12/2021,521.77,3055,0.3,7,0.2,2.5,-1.5
